compoundId,Biosample-(GxtoGx)_4G__G2.5Q2_R1 (4) | Sample Number=137,Biosample-(GxtoGx)_4G__G2.5Q2_R2 (2) | Sample Number=141,Biosample-(GxtoGx)_4G__G2.5Q2_R3 (2) | Sample Number=145,Biosample-(GxtoGx)_4G__G2.5Q2_R4 (2) | Sample Number=149,Biosample-(GxtoGx)_4G__G5Q2_R1 (3) | Sample Number=138,Biosample-(GxtoGx)_4G__G5Q2_R2 (2) | Sample Number=142,Biosample-(GxtoGx)_4G__G5Q2_R3 (2) | Sample Number=146,Biosample-(GxtoGx)_4G__G5Q2_R4 (2) | Sample Number=150,Biosample-(GxtoGx)_4G__G7Q2_R1 (2) | Sample Number=139,Biosample-(GxtoGx)_4G__G7Q2_R2 (2) | Sample Number=143,Biosample-(GxtoGx)_4G__G7Q2_R3 (2) | Sample Number=147,Biosample-(GxtoGx)_4G__G7Q2_R4 (2) | Sample Number=151,Biosample-(GxtoGx)_4G__G9Q2_R1 (2) | Sample Number=140,Biosample-(GxtoGx)_4G__G9Q2_R2 (2) | Sample Number=144,Biosample-(GxtoGx)_4G__G9Q2_R3 (2) | Sample Number=148,Biosample-(GxtoGx)_4G__G9Q2_R4 (2) | Sample Number=152,Biosample-(GxtoGx)_5G__G2.5Q2_R1 (2) | Sample Number=153,Biosample-(GxtoGx)_5G__G2.5Q2_R2 (2) | Sample Number=157,Biosample-(GxtoGx)_5G__G2.5Q2_R3 (2) | Sample Number=161,Biosample-(GxtoGx)_5G__G2.5Q2_R4 (2) | Sample Number=165,Biosample-(GxtoGx)_5G__G5Q2_R1 (2) | Sample Number=154,Biosample-(GxtoGx)_5G__G5Q2_R2 (2) | Sample Number=158,Biosample-(GxtoGx)_5G__G5Q2_R3 (2) | Sample Number=162,Biosample-(GxtoGx)_5G__G5Q2_R4 (2) | Sample Number=166,Biosample-(GxtoGx)_5G__G7Q2_R1 (2) | Sample Number=155,Biosample-(GxtoGx)_5G__G7Q2_R2 (2) | Sample Number=159,Biosample-(GxtoGx)_5G__G7Q2_R3 (2) | Sample Number=163,Biosample-(GxtoGx)_5G__G7Q2_R4 (2) | Sample Number=167,Biosample-(GxtoGx)_5G__G9Q2_R1 (2) | Sample Number=156,Biosample-(GxtoGx)_5G__G9Q2_R2 (2) | Sample Number=160,Biosample-(GxtoGx)_5G__G9Q2_R3 (2) | Sample Number=164,Biosample-(GxtoGx)_5G__G9Q2_R4 (2) | Sample Number=168,Biosample-(GxtoGx)_12Q__G2.5Q2_R1 (2) | Sample Number=169,Biosample-(GxtoGx)_12Q__G2.5Q2_R2 (2) | Sample Number=173,Biosample-(GxtoGx)_12Q__G2.5Q2_R3 (2) | Sample Number=177,Biosample-(GxtoGx)_12Q__G2.5Q2_R4 (2) | Sample Number=181,Biosample-(GxtoGx)_12Q__G5Q2_R1 (2) | Sample Number=170,Biosample-(GxtoGx)_12Q__G5Q2_R2 (2) | Sample Number=174,Biosample-(GxtoGx)_12Q__G5Q2_R3 (2) | Sample Number=178,Biosample-(GxtoGx)_12Q__G5Q2_R4 (2) | Sample Number=182,Biosample-(GxtoGx)_12Q__G7Q2_R1 (2) | Sample Number=171,Biosample-(GxtoGx)_12Q__G7Q2_R2 (2) | Sample Number=175,Biosample-(GxtoGx)_12Q__G7Q2_R3 (2) | Sample Number=179,Biosample-(GxtoGx)_12Q__G7Q2_R4 (2) | Sample Number=183,Biosample-(GxtoGx)_12Q__G9Q2_R1 (2) | Sample Number=172,Biosample-(GxtoGx)_12Q__G9Q2_R2 (2) | Sample Number=176,Biosample-(GxtoGx)_12Q__G9Q2_R3 (2) | Sample Number=180,Biosample-(GxtoGx)_12Q__G9Q2_R4 (2) | Sample Number=184,Blk (3) | Sample Number=242,Std1-50uM (2) | Sample Number=233,Std2 (5) | Sample Number=234,Std3 (2) | Sample Number=235,Std4 (2) | Sample Number=236,Std5 (2) | Sample Number=237,Std6 (2) | Sample Number=238,Std7 (2) | Sample Number=239,Std8 (2) | Sample Number=240,Std9 (2) | Sample Number=241
Glutamate 149.1/104.1,102,93.33,81.67,77,134.33,73,130.33,77.33,61,134.33,130.67,109.67,130.33,166.67,171,138.33,578,631,614.67,643,3338,3638.67,3346,3753,6492.67,7331.33,7836.33,7409,6745.33,8443,9253.67,7775.33,8447.33,11012.67,9831.67,10695,10821.33,12193.33,13675.67,10267.67,9053.67,11318,12303.33,9978.33,10308,12686,11163.33,11790.33,4,40.67,12,16,16.33,4,4,8,4,4
Glutamate 149.1/105.1,281.11,343.5,423.1,378,298,431.53,509.37,407.97,370.02,586,496.34,603.01,476.39,558.39,455.33,646.77,448.01,541,524.67,467.67,1070.33,1163.33,899.33,1143.67,1449.94,1600,1607.61,1668.67,1441,1977.67,2283.33,1925.33,16481.67,20261,18905.33,19911.33,20909.33,22326.67,26115.33,20420.67,17765,22453.33,23162,18661,19267.33,23813.33,21341,22946.33,116.06,94.04,226.82,211.44,123.35,165.1,101.7,186.38,133.66,85.67
Glutamine 145/127,2054586,1124626.12,1740662.62,1754883.12,2320820.25,2695990.75,2438047,2990555.25,2465846,2595918,2053628.88,2346279.25,1774501,1940778.88,2043142.5,2033647.5,2287062.25,3591136.75,4384656.5,3451022.25,2222014.75,2529602.25,2677366,3061955,2013304.62,2631862.75,2107781.25,2088004.38,1639911.62,2146463.25,2304646,1830264,166560,158234.33,194276.33,229044.33,230897.67,289703.34,341090,278568.66,296731,272704,292819.66,240936,275838.34,365540,253322.67,282116,173.7,595306.44,427802.47,191277.02,119844.35,65311.03,33927.43,16414.69,8182.22,3699.1
Glutamine 146/128,128378.98,80823.74,127669.63,116828.54,175185.44,172388.94,168738.8,198202.94,152201.62,158828.27,138154.3,163648.19,115387.84,130868.23,142431.08,147892.3,166933.89,243217.27,315483.97,251230.25,205662.42,223777,250235.27,275111.5,223078.89,285101.97,230343.88,224754.2,190240.75,231293.77,250295.48,205648.05,41433.43,50207.96,54294.36,61214.57,67663.62,87983.2,105565.75,81196.38,64847.66,72822.78,72071.62,60263.71,70410.72,85707.52,65018.17,69439.11,69.47,39570.87,28435.54,13396.91,8004.23,4222.45,2461.36,1158.39,642.11,177.37
Glutamine 147/129,10337.07,7734.4,12846.7,10117.4,17662.73,16718.55,15499.47,18453.68,11489.84,16222.07,13348.78,15112.75,8851.76,12798.06,14852.23,14051.38,13991.56,24349.75,28978.53,24412.63,24311.17,26722.59,29074.98,32787.29,35285.78,41958.78,37022.41,33066.27,31538.75,39708.83,43314.11,35572.36,1235735.12,1867024,1891077,2230236,1827680,2676784.25,3385881.75,2551408.25,1569291,1753242,1708972,1425031.38,1619416.88,2018502,1575543.88,1648082.62,73.99,3615.34,2388.71,1223.33,650.88,374.66,251.62,86.66,47.75,46.77
Glutamine 148/130,540.5,511.73,689,561.19,941.51,817.1,804.13,1057.22,618.3,745.36,784.65,774.46,379.31,668.61,837.6,815.79,850.91,1376.99,1721.42,1299.67,1410.74,1697.01,1891.92,1883.81,2563.78,2739.45,2676.93,2337.19,2312.7,2565.91,2940.91,2462.37,59624.23,85729.22,84068.34,105660.94,80252.09,117749.48,159642.42,117321.81,68664.62,80822.73,77270.48,64522.67,72786.78,88031.85,71089.16,77865.1,36.63,206.13,220.33,82.66,22.09,41.99,32.2,39.93,27.13,33.67
Taurine 124/80,7542401.5,8482585,8071341.5,9015053,8118541.5,8693575,8524924,8507342,7750544,9442880,8210900.5,8822644,7385314,8743608,8045738.5,7331582.5,7300260,8047757.5,8472249,7819036,8466384,8251237.5,9244099,8764835,7979147.5,8982032,9144993,8325148,6180749.5,7806709.5,8888422,8525587,7394960,8326454.5,8363660.5,8174084.5,7965876,8793585,9558917,8356428,7119127.5,8770053,9254420,7456446.5,7617134.5,8551795,8446540,8577675,655.04,2668879.25,1928817.38,935422.81,615401.69,347072,183800.45,102562.66,53333.67,25822.33
Taurine 126/82,422830,474707.34,447114.34,518984.34,470439.66,476225.66,488652,464287.66,427732.66,544164.31,485620.66,509002.34,423693.66,519662.66,437314,416449.66,414033.66,449759.34,474621.34,411681.34,458894.34,468510.66,494627.34,508722.66,440746.34,465382.34,479483.34,448933.66,364865,461794.34,495026,457414,393928.66,457871.66,440426.34,465480.66,453089.34,508544.34,530048.31,464608.34,383616,485301.66,516587,403146.66,431967.34,470421,463746.34,479736.34,26.51,144060.33,107881.7,48354,33196.67,19152,10051.46,5570.35,2865.33,1499
Taurine 128/80,3689775,3503050.75,3615680.75,3568500.75,3572810.25,3525373.75,3583688.25,3464073.75,3685107.75,3330785,3594657,3342828,3781253,3405066.25,3602368.75,3430643.25,3701754.25,3467832.75,3229013,3321113.75,3524153,3555631.25,3361216.75,3529081.75,3590651,3294083.75,3529545,3314371.75,3523600.25,3582487,3656621,3475353,3666961.25,3469519.25,3523594.25,3551846.25,3396510,3480791.25,3362860,3513059.25,3707051,3601150.25,3553517,3805453,3579255,3525619,3688840.25,3851048.25,6389707.5,7731612,6212452,6149882.5,6367544,6309552,6138696,6318081.5,6380068,6294621.5
Citrate 191.1/111.1,130934,154378.5,151105.33,157515.67,228450,288495.16,292310.75,297299.34,284595.34,395455,356518,379437.34,359763.34,438814.66,398783.41,422354.34,102181.34,128334,139681.33,120411.66,169229.67,181239.05,183556.67,194714.69,201350,220126,220069.75,215573.33,177430.94,215604,239754.08,182246.67,61799.33,69480.28,77891.91,85054.82,134075.33,142501,171237.33,157486.33,175610.33,195985.3,211707.8,210179.62,236520.75,297485.38,255965.67,293475.72,4067.54,1336129,1026280.31,485643.03,307958,175331.86,91936.69,48389.03,23759.73,10248.56
Citrate 192.1/111.1,1832.28,2182.56,2165.11,2217.74,3633.35,4649.68,4706.1,5167,6534.67,9009.02,8276.01,9229.67,10911.33,13841.34,13086,13242.67,11510.33,14515.67,16992.33,15504.01,42779.67,45428.33,47915.67,52460.33,58327.33,65469.67,67218.66,68531,53610.33,66753.66,76678.66,57562.67,10888.67,12666.67,14645.33,16645.67,21202.67,22076.33,27255.67,25153,22773.67,24688.33,28171,27015,26110.68,32352.01,28269.33,32169.67,59.89,18022.33,13533.33,6487.33,4176.67,2399.33,1239.34,643,391.43,204.51
Citrate 192.1/112.1,8169,9378,9134.35,9699.67,16842,21211,22152.67,22959.02,29375.67,41940.67,36663.67,39977,45557,57315.67,55034.33,54953.67,19258,23773.33,26304.67,24932.01,67120,77438,78974,83944,109271.69,122996.66,124072.66,123913,110570.34,131517.67,151488.33,117916,29309,36352.67,40579.02,47194.33,61566,65679.34,80324.66,72723,67086.34,74703.34,84684.66,80226,76347,100067.34,84862.66,100503.34,90.08,76598,56796.67,27892.02,17270,9955.02,5081.36,2759.25,1396.28,839.1
Citrate 193.1/112.1,95.35,126.57,72.51,100.78,240.75,262.46,360.99,319.02,545.03,813.88,662.7,760.68,1024.03,1194.35,1177.67,1278.33,1603.03,2358.01,2752.33,2369.34,14471,16382,17109.67,17809.67,28277,32029,32575.67,32164.33,29349.67,36491.33,39068.33,32365.33,7220.01,8527,8625,9638.33,11356,12347,13972.34,11314.67,11333.33,12271.34,13421.67,11949.33,14333.34,17597,14501.67,16500,6.43,1031.68,774.67,419.33,231.67,143,48.23,27.56,6.44,12.45
Citrate 193.1/113.1,920.39,1130,1121.87,1261.81,1816.08,2481.15,2188.27,2481.11,2665.34,3729.04,3147.02,3550.01,3882.73,4724.67,4400.04,4585.07,1740.25,2092.64,2537.79,2165.9,9347.33,10908.67,11401.33,11812.67,21608.67,24223.67,25329,25247.67,24448.01,30357.33,32942.67,27843.33,8241.67,9280,10158.33,11546.34,13581.33,14376,17362.33,14510,13950.67,15025,16500.33,15234.67,18003,22135.33,18972.33,20421.33,33.5,9484.33,8264.67,3723.69,2259.76,1395.68,830.96,277.67,161.04,59.41
Citrate 194.1/113.1,22.77,30.3,8.07,27,25.68,37.46,57.87,37.27,51.97,76.17,70.33,79.11,81.78,143.14,115.41,90.1,134.65,165.33,212.39,210.36,1575.67,1594.01,1650,1723,3933.33,4397.33,4372.33,4308,3955.67,5609,6166,4998.33,540.33,604,676.67,618.33,722,827.67,998.68,777.72,771.67,729.88,962.37,769,929,1108,1163.35,1183,0.92,143.13,100.91,45.37,34.11,13.34,20.07,2.65,6.92,0.34
Citrate 194.1/114.1,70.1,50.76,89.48,42.92,75.44,134.73,148.01,185.13,240.76,246.6,240.94,257.4,291.02,383.35,358,464.68,134.68,190.11,187.73,193.55,749.73,892.01,891.76,1065.67,1566.02,2027.35,1955,2170.34,2056.33,2324.34,3105.01,2366,405.11,548.34,601.68,715.37,794.67,917,1029.67,778,878.01,1006.76,1003.67,984.75,1102.33,1286.33,1062.34,1242.34,8.6,494.67,424.67,193,103.9,64.34,42.83,30.73,19.41,21.67
