Biol.Rep,GroupLevel1,Dev#1,Dev#2,Dev#3,Dev#5,Dev#6,Dev#7,Dev#8,Dev#9,Dev#10
1.0,G2.5Q2,1.580149171735491,0.7821099886501278,0.10163894603800272,1.0286198834335112,1.2390886501630214,0.9274809543969201,1.021323406469414,0.9339220309804552,1.4785785918521874
2.0,G2.5Q2,2.208333211635242,1.9176466414748305,16.004433124704132,1.07157396305363,1.1863596220346182,0.9536706624767269,1.107898343322395,0.9516874051973127,1.2511826965474377
3.0,G2.5Q2,2.5708768195232463,5.522440579230911,inf,0.9780136712186458,1.1344401579024144,0.9929934210486672,1.0670756612313526,0.9250009256946565,1.2673616097095557
4.0,G2.5Q2,3.0262035667029794,1.97532884267384,4.87044407276851,0.9740601798757419,1.0928596918615456,1.0114384041707536,1.064447383807104,0.9640168330718699,1.03824235469348
1.0,G5Q2,1.5083739583944384,0.9867252159477102,2.5056699567209533,1.0125929424731128,1.1112152085935911,0.9468906339859426,1.082192465681534,0.9292520064886345,0.8914572930600931
2.0,G5Q2,1.4029773859808468,1.074960419057106,1.1708554588938016,1.0117143435630018,1.0835793568135643,0.8940453396728032,1.0501179740402327,0.9269824383898363,0.9786093165081027
3.0,G5Q2,1.47909325672439,0.9750879297976938,3.4796456328111263,0.9996340705701641,1.0824605613562561,0.9654621524565378,1.0636661771133495,0.9347962483180616,0.8745490499515344
4.0,G5Q2,0.7105273266859277,1.0425310069949012,0.6231334891984234,0.9704661575733303,1.0747801562628658,1.0703243182469147,1.151322635515313,0.9355602149353776,0.8418090423813528
1.0,G7Q2,1.0013069755100872,0.9930494668709696,0.7591906974299264,1.027447995105564,1.1245636177846439,0.9116696571847333,1.0104912806603212,0.9354157809592316,0.9695892235940377
2.0,G7Q2,1.1504488837743754,0.9629711249042939,0.7619960794933222,1.0623190462497838,1.1225633288356416,0.9516192728770462,1.0680874568537604,0.9692085086038212,1.0022686503075444
3.0,G7Q2,1.1049685671796317,0.9824227507254272,1.142414001744983,1.0266702660825249,1.09255109789829,0.9546962865539942,1.0679438590026415,0.8019891913941103,0.9279206508809298
4.0,G7Q2,1.0502059602896547,0.9988568613583698,1.2860570236999032,1.0304760200467096,1.1166108590981514,1.02865624692217,1.1163580069485286,1.0270377074075534,0.9364604463990452
1.0,G9Q2,0.9536857677921533,0.9985274804577546,0.6713182673222965,1.0489649367923135,1.177850690054405,0.9133740978332966,1.013545879714004,0.912925750348016,1.0538815934092092
2.0,G9Q2,1.0166606043324877,0.9950552635594515,0.9523250955920362,1.079304362067829,1.1238516714299824,0.952071619146933,1.060329393991652,0.9045913279849029,0.9811065105069225
3.0,G9Q2,0.9975531992158744,1.0040527427116874,1.0061896023547494,1.0800864065018896,1.1705106844357005,0.9980747821892668,1.0648074248930965,0.9031114860776052,1.0022180464402404
4.0,G9Q2,1.038185867915249,0.9930563235504907,1.0363091526478412,1.096716350435183,1.1291876909476748,1.0067961775355856,1.1513176415261148,0.9818520077683373,0.9699797542118289
