Biol.Rep,GroupLevel1,fIDHr,qqBicarb,FCitDil,fIDH,fAAO,fAAO_#2,fAADil,fPDH,fACLy,fPC&MEr,fTCA,fMDHr,4gBicarb,AAS/AAO
1.0,G2.5Q2,0.26881488184342656,0.07323388517305551,1.3074176889761113,0.27396473193106924,0.5953676462827867,0.5427710376190973,0.1306676217861441,0.7888399445138877,0.15626883393551927,0.012595020988041475,0.8311361450764393,0.26881223788922526,0.0019311243040805281,0.29729702019145343
2.0,G2.5Q2,0.2504465662215009,0.07390418011792718,1.2228502703243842,0.30068922552156835,0.5930822815235637,0.5872583990196564,0.10622849295486803,1.0511190557323673,0.027319658070796626,0.0128722336479453,0.9598081082812581,0.25732653749191503,0.0,0.20926638242211404
3.0,G2.5Q2,0.2426989385875502,0.08305634340580859,1.274133220403684,0.2756106426833022,0.5783274064253037,0.5812621190570485,0.14606195089139407,0.8169965649167323,0.15870683679085867,0.03303976601057554,0.8082533971985657,0.30553028297986956,0.0,0.22851175833194307
4.0,G2.5Q2,0.22472122769143985,0.07730083424584414,1.194088821081913,0.2737937762918306,0.5929697944366783,0.5399893431133624,0.13323642927149115,1.104326478536032,0.13280612628572147,0.027429863570353333,0.8397640101439252,0.5348374459248854,0.0,0.23841654272406268
1.0,G5Q2,0.21837990407959879,0.07429829891756644,1.2181956342492626,0.33800244242383864,0.518327313954425,0.5427837198407938,0.14367024362173642,1.1783269934225327,0.08175825622305995,0.04970964470073962,0.8685320990762004,0.343757312747861,0.0066928420833775384,0.23674908164458947
2.0,G5Q2,0.21565404270089153,0.08227666111148323,1.19901382538085,0.36430849462628007,0.4907254871258829,0.5108522526823476,0.14496601824783711,1.11624122968377,0.14577346196523644,0.0587923714167041,0.7954341666180594,0.37060080792796385,0.0,0.20164403493487817
3.0,G5Q2,0.19496848689806465,0.08829044928775973,1.22494823974244,0.343705607741015,0.5016326935207229,0.49562393838537216,0.15466169873826208,1.188111755541764,0.24912315074293706,0.05131595794328745,0.6995608913137754,0.3599888613535368,0.006179031673020761,0.1969373353327088
4.0,G5Q2,0.1704124911942598,0.08669789257230948,1.231996236595032,0.32900600766160265,0.5073182461103076,0.48120142592264886,0.16367574622808978,1.2296426972098546,0.2877996491984217,0.0411727972369781,0.6710275535646002,0.2813347371495225,0.035809072446880835,0.20745876038646938
1.0,G7Q2,0.1888385490628024,0.08429009129285041,1.1811372645842937,0.38411267500763197,0.48691604516592646,0.4932153344634762,0.12897127982644152,1.1224170483141223,0.14840529119147705,0.14655744122649664,0.7050372675820263,0.38647024232706123,0.03307235662113376,0.3000262164132488
2.0,G7Q2,0.19182393491811714,0.0776979171435517,1.1763581266789558,0.39788488772183783,0.4780454729857644,0.47692883990707075,0.12406963929239778,1.0139033978299166,0.036038387714409696,0.12464838348635394,0.8393132287992363,0.38403202224115174,0.017064089406078852,0.25966073329788303
3.0,G7Q2,0.16792432504818286,0.08754482803602748,1.1337728586794178,0.3936821328451877,0.49080080674515325,0.4968456632535918,0.11551706040965903,1.0924368545968357,0.14787741569921684,0.14868799494703547,0.7034345893537477,0.37229370797195616,0.004111995924622025,0.2820407436422168
4.0,G7Q2,0.1674262386258806,0.0868991403652027,1.2072594518146469,0.3671030123173942,0.4867659726661071,0.47393304255578045,0.14613101501649872,1.053192914802374,0.17071186641935265,0.16745876013804845,0.661829373442599,0.3734721678336898,0.008095384895411879,0.2759394082628481
1.0,G9Q2,0.19342019865064544,0.08126861349258288,1.1833431303405733,0.37872143529775976,0.4677085148320808,0.48106998858347644,0.1535700498701595,0.9486276997762328,0.16545261155810226,0.17662182308221705,0.6579255653596807,0.40448163425498124,0.03894607309339004,0.27119738509022934
2.0,G9Q2,0.18626748152040046,0.07746764442871612,1.1736836822287595,0.3855777670951827,0.47659855326023803,0.5101736232972454,0.1378236796445792,1.0201728590184362,0.13234509946991563,0.22771582288750755,0.6399390776425768,0.40869229642338145,0.014972890096589428,0.28536718332081934
3.0,G9Q2,0.18146331216432954,0.08587107220524623,1.1911284165357827,0.3717535131020865,0.48049304833423984,0.46573656080861114,0.14775343856367368,0.9392073950053564,0.15440721244894073,0.21779176628454983,0.6278010212665094,0.4067752059052833,0.0402883467398735,0.2639764128774594
4.0,G9Q2,0.16244891944935724,0.08958544016350295,1.1735331177907833,0.3878227402732687,0.48512151799239617,0.4579411923865796,0.12705574173433515,1.05253700032184,0.20015386748611452,0.20155391123478755,0.598292221279098,0.39597077608577846,0.011328878104354444,0.28075026213100956
