compoundid,3PG 185.06/97.06,3PG 186.06/97.06,Lactate 89.07/89.07,Lactate 90.07/90.07,PEP 167.13/79.13,PEP 168.13/79.13,Pyruvate 87.04/87.04,Pyruvate 88.04/88.04,Succinate 117.09/73.09,Succinate 118.09/73.09,Succinate 118.09/74.09,Taurine 124/80,Taurine 126/82,Taurine 128/80,Malate 133.09/115.09,Malate 134.09/116.09,Malate 135.09/117.09
biosample-(gxtogx)_5g__g7q2_r1 | sample number=34,0.631639597048576,0.36836040295142397,0.6519030161979844,0.34809698380201565,0.6615316389629892,0.3384683610370108,0.6167310685491706,0.38326893145082946,0.8509947961546522,0.060042220934799856,0.08896298291054794,1.0,1.0,,0.7397705183915769,0.23745582545472854,0.022773656153694685
biosample-(gxtogx)_5g__g7q2_r2 | sample number=38,0.6047296176613554,0.39527038233864464,0.6447619560715249,0.3552380439284751,0.6200942813612469,0.3799057186387531,0.6017103261139055,0.39828967388609443,0.8260878258412718,0.07244955478320803,0.10146261937552005,1.0,1.0,,0.7263895488238163,0.24977905972539508,0.023831391450788605
biosample-(gxtogx)_5g__g7q2_r3 | sample number=42,0.6390939526524327,0.3609060473475672,0.640807712355794,0.3591922876442059,0.6875429189537979,0.312457081046202,0.617361097411639,0.38263890258836086,0.8492684335999803,0.06716934484676704,0.08356222155325269,1.0,1.0,,0.7401772716241195,0.23074327842860998,0.029079449947270533
biosample-(gxtogx)_5g__g7q2_r4 | sample number=46,0.6117496189321933,0.38825038106780674,0.6508441601839471,0.3491558398160529,0.6657352948592012,0.3342647051407987,0.5980150938316945,0.40198490616830546,0.8572887570454074,0.06300393108977945,0.07970731186481318,1.0,1.0,,0.7275163172606197,0.24218723647839774,0.03029644626098251
biosample-(gxtogx)_5g__g9q2_r1 | sample number=35,0.5788118340330651,0.4211881659669347,0.753509835629602,0.24649016437039795,0.5699595206403161,0.4300404793596838,0.5762403641504404,0.42375963584955956,0.8537869650305302,0.060514134661208405,0.08569890030826151,1.0,1.0,,0.7075360548639207,0.26474589650816627,0.027718048627913088
biosample-(gxtogx)_5g__g9q2_r2 | sample number=39,0.6038892524971712,0.39611074750282876,0.6314393327293342,0.36856066727066594,0.598476004654702,0.4015239953452981,0.5841121518503812,0.4158878481496187,0.8165766909612154,0.07380415533191137,0.10961915370687329,1.0,1.0,,0.7043217943054124,0.26606403494074643,0.029614170753841155
biosample-(gxtogx)_5g__g9q2_r3 | sample number=43,0.5742444701838066,0.42575552981619336,0.6112639814178044,0.38873601858219564,0.6030251269320956,0.39697487306790447,0.5730095517057113,0.4269904482942887,0.81986276366625,0.06755730568964675,0.11257993064410321,1.0,1.0,,0.7020540072556396,0.266163240465254,0.03178275227910653
biosample-(gxtogx)_5g__g9q2_r4 | sample number=47,0.6164377805291308,0.38356221947086927,0.653444751273961,0.34655524872603904,0.5684580152073277,0.43154198479267236,0.5822085627933402,0.41779143720665984,0.8307305291673671,0.0733178949639639,0.09595157586866906,1.0,1.0,,0.6951702212075737,0.2742432398428968,0.03058653894952958
biosample-(gxtogx)_12q__g2.5q2_r1 | sample number=48,0.9374244263566941,0.06257557364330588,0.9641201556563748,0.035879844343625227,0.7867941322588873,0.21320586774111264,0.8960860080339847,0.10391399196601517,0.5583859096485474,0.22057660207219976,0.22103748827925285,1.0,1.0,,0.4923070853848575,0.46980424111060687,0.03788867350453557
biosample-(gxtogx)_12q__g2.5q2_r2 | sample number=52,0.9455282817860496,0.054471718213950394,0.9528394615386397,0.047160538461360244,0.47742248408803023,0.5225775159119698,0.8825756683532943,0.11742433164670583,0.5451147427461626,0.22331636966909413,0.23156888758474337,1.0,1.0,,0.5152192966818689,0.4586529261673672,0.026127777150763858
biosample-(gxtogx)_12q__g2.5q2_r3 | sample number=56,0.9295058346529484,0.0704941653470516,0.9565458048649023,0.043454195135097705,0.8324053818429276,0.16759461815707238,0.8587319391876231,0.14126806081237692,0.5606832142311631,0.21112889333862023,0.22818789243021678,1.0,1.0,,0.48318179269061123,0.4795995136951297,0.03721869361425897
biosample-(gxtogx)_12q__g2.5q2_r4 | sample number=60,0.9388942054788026,0.06110579452119725,0.9523100282801693,0.04768997171983073,0.9319402829725142,0.06805971702748588,0.8819988434950212,0.11800115650497872,0.5522119651300983,0.21732441284551118,0.2304636220243905,1.0,1.0,,0.5051613451784401,0.46018505743517063,0.03465359738638921
biosample-(gxtogx)_12q__g5q2_r1 | sample number=49,0.953207526652542,0.04679247334745799,0.9576936363171638,0.04230636368283623,0.6214536490629341,0.37854635093706596,0.918391544368087,0.08160845563191307,0.643954911412805,0.17480716856337933,0.18123792002381545,1.0,1.0,,0.5643735112093249,0.4101628152388084,0.025463673551866742
biosample-(gxtogx)_12q__g5q2_r2 | sample number=53,0.9928115482294492,0.007188451770550865,0.9797611511395536,0.020238848860446353,0.7783008382102832,0.22169916178971685,0.9418392738649526,0.058160726135047504,0.6045182082828734,0.19867142446197733,0.1968103672551494,1.0,1.0,,0.5709786828503558,0.39914193707766654,0.029879380071977674
biosample-(gxtogx)_12q__g5q2_r3 | sample number=57,0.9748855762069194,0.02511442379308064,0.9704885907995787,0.029511409200421328,0.8771960914460118,0.12280390855398818,0.9444393665310838,0.0555606334689161,0.6188278477911195,0.19483675352918722,0.18633539867969337,1.0,1.0,,0.5536674765187619,0.40839134155624085,0.03794118192499716
biosample-(gxtogx)_12q__g5q2_r4 | sample number=61,0.9977927887171385,0.002207211282861557,0.9624346829340558,0.037565317065944216,1.0,0.0,0.9427905479290926,0.057209452070907434,0.6264583947498179,0.1803403444088079,0.1932012608413743,1.0,1.0,,0.5587575023488685,0.40388031015711084,0.03736218749402074
biosample-(gxtogx)_12q__g7q2_r1 | sample number=50,0.9771689914114833,0.022831008588516635,0.976260070375867,0.023739929624132912,0.945643933217888,0.054356066782111905,0.945979573434304,0.05402042656569603,0.6895879535679273,0.15708389342930532,0.15332815300276736,1.0,1.0,,0.642233301075014,0.3335387029053528,0.02422799601963325
biosample-(gxtogx)_12q__g7q2_r2 | sample number=54,0.9568602500696102,0.04313974993038978,0.9896332945125014,0.010366705487498547,0.9091813840690592,0.09081861593094073,0.9516366665247523,0.04836333347524772,0.6733053603015401,0.1578741675887428,0.16882047210971704,1.0,1.0,,0.6503130509471237,0.332211473275414,0.017475475777462286
biosample-(gxtogx)_12q__g7q2_r3 | sample number=58,0.9738415658947229,0.026158434105277018,0.9700678414683876,0.029932158531612376,0.9802955100489336,0.019704489951066387,0.9727089221399198,0.027291077860080185,0.66580317966329,0.16050617630046038,0.17369064403624976,1.0,1.0,,0.648788231604677,0.3267015693652574,0.02451019903006555
biosample-(gxtogx)_12q__g7q2_r4 | sample number=62,1.0,0.0,0.9743128664016039,0.025687133598396167,0.9794390627748604,0.020560937225139655,0.9562261304192397,0.043773869580760336,0.6472554556343999,0.15890696533750684,0.19383757902809315,1.0,1.0,,0.6372384761248092,0.3383507952451219,0.02441072863006893
biosample-(gxtogx)_12q__g9q2_r1 | sample number=51,0.9843941121647068,0.015605887835293228,0.9696058958696502,0.030394104130349927,0.9953517004920392,0.00464829950796069,0.9598318790171537,0.040168120982846216,0.6706233995888151,0.15741674796475716,0.17195985244642767,1.0,1.0,,0.6886010284425043,0.28700865339672027,0.024390318160775436
biosample-(gxtogx)_12q__g9q2_r2 | sample number=55,0.9799960527115217,0.020003947288478263,0.9688225588646636,0.031177441135336416,1.0,0.0,0.96932771995793,0.030672280042069913,0.6603896947829385,0.16368608370584034,0.17592422151122108,1.0,1.0,,0.6854207842484127,0.2924635360564088,0.022115679695178483
biosample-(gxtogx)_12q__g9q2_r3 | sample number=59,0.985850007106392,0.014149992893608068,0.9681102143838972,0.031889785616102756,0.9707164893232768,0.029283510676723298,0.9708468954849281,0.029153104515071977,0.6629567134599824,0.16867481072331864,0.168368475816699,1.0,1.0,,0.6837568216540598,0.29342441633116106,0.022818762014779264
biosample-(gxtogx)_12q__g9q2_r4 | sample number=63,0.9758409297752118,0.02415907022478835,0.9714001564669489,0.028599843533051162,0.9688127098949552,0.031187290105044965,0.9653720001507101,0.03462799984928988,0.6556571128106592,0.1639341086347098,0.18040877855463103,1.0,1.0,,0.6828046172278116,0.29201615657594343,0.025179226196244978
